  M    Peri. Node   Incl.  e      a 
313.0  101.0 222.5  12.4 0.304  39.7
340.6   85.2 205.3  18.2 0.330  39.7
 21.2  350.1 217.0  14.7 0.242  39.8
338.1   76.9 118.0   2.9 0.094  44.2
337.9  211.6  24.4   1.8 0.157  39.7
358.3   17.0 320.9  26.1 0.058  40.5
340.5  189.7  76.7   1.5 0.034  43.6
 15.1   19.7  97.2   2.4 0.153  42.1
274.4  331.6 104.7   2.4 0.066  44.3
308.6   40.8 234.0   1.0 0.072  44.3
349.5  169.7  91.7   1.9 0.222  39.8
  8.5   54.3 169.1   3.4 0.260  48.4
349.4  131.2  59.2   2.2 0.096  44.2
284.5  110.5 106.7  18.1 0.113  39.4
  3.8  181.9 305.0   2.6 0.217  42.2
155.7   42.7 164.2  22.4 0.114  39.2
351.2   52.4 222.9  17.5 0.289  39.9
 52.0  317.5 188.1  17.1 0.122  43.4
250.7  144.0 119.0  25.5 0.146  43.7
349.7    6.5 212.7   0.8 0.036  44.2
 16.7  312.7  96.3  28.6 0.273  39.1
112.3  144.6 136.0  12.0 0.226  39.0
 56.8  349.3 184.3   1.7 0.090  45.4
 56.4  341.7 154.8   2.8 0.125  46.9
 78.4  132.6 113.8   2.1 0.123  46.0
354.6  101.0  10.4   4.1 0.253  39.0
297.7  120.8 207.4  15.0 0.184  39.6
 42.0   37.8 240.9  31.2 0.153  43.4
269.1  273.5  45.3   3.3 0.046  44.2
 26.5  126.7  65.7   2.8 0.050  44.4
 32.0  337.0 205.7  10.6 0.124  46.8
 22.6  183.8 133.1   3.2 0.042  42.6
 26.9  302.0 226.2   3.1 0.284  39.7
176.8   24.7  22.1   6.6 0.130  44.7
  6.6   12.7 203.3  21.7 0.079  42.8
340.4   59.5 130.4  17.9 0.232  42.3
349.2  116.4  84.4   2.3 0.054  42.8
 33.4  101.8  56.5  28.5 0.167  35.0
244.4   71.0  99.8  23.9 0.056  39.9
159.5   64.4 120.0   3.5 0.095  34.8
187.8  354.3 314.3   1.1 0.007  42.7
340.7  247.3 204.7  27.5 0.129  44.0
 52.8  326.4  14.3   7.7 0.068  42.8
249.9  298.0 162.7   2.2 0.038  44.0
182.6  100.0 141.6  29.1 0.148  44.1
 71.3  114.7 135.3  23.9 0.117  43.0
340.6  206.7 149.0   3.5 0.244  43.8
303.1   97.7 347.1   5.1 0.167  45.7
 22.3  198.0 114.1   4.5 0.030  43.8
277.7   21.2  68.4   2.7 0.111  43.6
124.8  267.5 286.6   3.7 0.151  39.4
 23.2   89.1 116.4   1.1 0.086  44.5
156.4  205.0 339.8   3.9 0.074  44.8
252.9  135.0 328.8   3.7 0.142  46.1
 48.3    0.7 291.5   1.8 0.098  42.5
142.8  101.6 140.7  12.4 0.077  43.0
358.4  211.1 130.9   2.2 0.046  45.3
236.0  118.3 336.8   0.8 0.047  43.4
183.9   22.9 163.8  12.7 0.028  41.1
 30.9  187.5 170.4   3.7 0.194  39.0
  9.6  183.1  36.4   3.5 0.088  45.0
 35.7  158.0  49.6   2.3 0.137  45.9
207.6  315.7 165.7   3.1 0.045  43.8
  1.4  205.2 196.7  11.3 0.261  39.0
 49.1   58.2  15.0  27.4 0.137  41.7
  3.0  352.5 205.0  18.9 0.311  48.0
 77.6  102.6 318.5   7.9 0.101  43.4
310.0   51.9  27.5   1.5 0.063  34.6
 54.8  265.9  46.4  10.0 0.198  47.6
321.1   91.6 112.9  28.7 0.146  43.4
277.7   89.8  17.8  10.4 0.074  43.6
274.3  281.7 267.9   1.4 0.211  39.0
220.5  214.2 215.9  17.7 0.140  41.9
 49.3  124.6  59.8   9.7 0.206  47.0
330.4   63.0 248.4  15.6 0.160  39.7
 54.1  309.4 339.1   1.3 0.105  44.1
340.7    6.5 272.6  12.0 0.165  48.3
 83.8  126.7 108.8   1.5 0.086  43.9
358.8  132.7 328.7  38.1 0.244  46.9
231.8   14.5 252.2  13.6 0.181  39.4
225.5  223.0 307.7  25.7 0.149  43.1
320.4  267.6   0.4   5.8 0.145  45.5
321.9  130.2 103.2   2.4 0.107  44.6
301.7  237.4 276.8   1.7 0.104  44.3
 81.9  257.8 244.9  11.6 0.109  44.5
312.7  189.2  55.5   2.2 0.152  46.0
356.7  204.9  45.0  10.6 0.170  45.4
282.8  317.2 208.0   6.1 0.097  43.4
 60.8  160.6 278.5   0.8 0.083  43.7
332.9  256.2 304.3  16.7 0.295  49.7
355.2   41.8  41.7  28.7 0.179  45.7
351.7   42.8 187.8   7.7 0.055  44.0
166.2   86.5  84.5  13.3 0.068  38.9
271.8  180.7 184.0  21.5 0.140  46.0
341.9  335.2 287.6   5.6 0.198  39.6
353.9  220.0  23.3   4.9 0.082  40.1
 20.5   50.7 154.7   5.0 0.237  39.7
224.5   41.6 103.5   4.9 0.062  42.8
348.9  284.7 326.9   2.6 0.095  44.0
 71.5  311.9 322.6   2.0 0.112  45.0
339.6   47.9 136.2  10.2 0.123  45.3
315.5  255.6 224.5   7.1 0.238  42.0
 61.3   87.1 275.5   3.0 0.119  44.8
129.0  295.6   1.9   5.2 0.064  44.0
 96.8   82.1 192.1   0.8 0.042  43.7
 47.8  278.1  85.8  28.6 0.136  43.0
349.5  166.4 186.9  19.3 0.022  41.5
102.5  147.3 148.0   9.5 0.043  38.8
324.9   66.8  67.0  19.4 0.137  44.4
 18.8  346.3  29.2   7.7 0.249  41.9
 11.7  197.2 177.7   5.9 0.232  36.2
 11.1  208.6 162.6   6.5 0.190  39.1
 48.4  312.9 355.6  15.7 0.267  44.5
355.4  358.2   4.4   4.9 0.137  46.4
  4.5  208.3 175.8  12.7 0.288  47.2
 77.1  112.9 149.3   1.4 0.109  44.9
162.1  295.6  79.6  29.0 0.156  45.6
215.0  238.7 122.0  28.2 0.190  43.3
 70.2  288.5 336.8   5.4 0.127  43.6
106.0   44.9 224.2   1.8 0.022  36.9
274.1  294.3  44.2   2.1 0.110  43.9
 95.0  148.8  96.8   1.1 0.023  42.8
 28.5   56.8 276.6  10.2 0.148  43.4
 40.4  114.5 110.3  17.1 0.254  39.7
 53.5  306.6 209.4   8.9 0.259  39.8
319.4  220.9 323.1   2.9 0.077  34.9
 29.1    7.5  94.8   4.3 0.051  37.2
 29.2  172.9   2.1  13.7 0.179  39.6
 23.1  170.4  45.9  23.4 0.286  47.8
  1.8  130.3  83.4   3.3 0.041  43.9
  8.3   35.4 171.5   1.5 0.275  39.6
 61.7   41.8  78.5   2.4 0.086  35.1
356.9  307.8 248.6   0.8 0.198  47.3
 14.2  129.7 319.5   6.0 0.290  39.3
 22.9  356.1 108.9  11.1 0.139  42.3
327.6  296.3 185.9   2.0 0.042  44.1
266.7    2.1 140.5  24.8 0.065  38.6
122.9  309.6 280.0  23.9 0.110  41.9
360.0  204.7  25.7  29.2 0.322  39.7
 11.5  247.9 146.5   2.7 0.169  32.1
 72.5   69.0 182.9  27.2 0.109  43.2
 30.2  175.8 341.8  11.8 0.254  49.7
317.3   45.4 109.7   9.2 0.261  47.6
 87.9  152.6 105.5   4.0 0.177  43.5
271.1   64.9 287.0   0.4 0.043  39.0
345.2   47.8  36.4   3.7 0.282  39.3
 19.9  218.6  21.9   3.3 0.182  44.0
321.7  279.1  45.3   2.4 0.243  39.4
299.8  302.1  42.7   7.2 0.190  43.8
316.0  267.6  47.6   6.7 0.082  43.9
330.1   81.6 285.0  11.2 0.232  43.6
 64.4   97.1  57.0  15.3 0.235  45.6
326.9  186.2  88.0   5.0 0.119  44.1
 29.0   18.6  10.8  14.7 0.118  39.2
 64.4  139.2 224.0  10.6 0.130  39.0
 27.5  181.6  50.2   5.9 0.234  39.6
 35.4  295.5 250.7  21.9 0.082  42.2
178.7   72.3 268.8  20.6 0.221  39.3
154.7  242.8 304.6   2.6 0.029  43.9
328.5  215.9  87.0   1.9 0.021  42.7
 92.0   51.6 113.0   0.5 0.025  43.2
349.3   50.7 326.6  22.2 0.234  45.1
 63.8  305.0 301.8  24.2 0.173  43.9
257.5  331.1 102.0   1.2 0.029  43.5
320.2  247.7  56.0   1.5 0.091  44.3
 20.7  112.3 302.7  14.8 0.072  39.2
 76.9  287.3  23.1  14.0 0.265  39.2
292.6  110.4 150.7   5.4 0.063  38.7
 99.1    6.6  45.7   3.8 0.063  42.2
 20.1  178.7 334.9   9.8 0.146  46.6
 51.7  161.0 334.3   3.2 0.085  35.0
318.7  238.6 304.4   2.3 0.013  43.8
143.9  247.1  47.0  14.4 0.251  37.3
 67.5  126.7 127.3  33.7 0.125  38.6
 50.4  140.8 237.2   6.6 0.184  39.0
 94.0  202.3 136.5   1.0 0.021  42.3
 47.0  145.6 234.1  14.0 0.222  39.2
 61.4  195.9  85.0   0.6 0.089  43.6
107.1   89.2 134.4   2.7 0.067  44.9
326.7   80.0 184.8  19.5 0.227  44.1
304.1  289.1 320.3   1.2 0.090  44.5
 48.1  329.0 120.1  10.0 0.207  41.5
 59.9  338.7 132.6   2.9 0.119  45.4
 24.4  206.7 199.9  16.3 0.285  39.1
296.3  279.0 204.7  19.5 0.141  42.4
 77.0  338.3 324.6  25.9 0.124  43.0
294.7  295.1 297.5  24.4 0.132  47.3
307.1  236.2  51.3   0.4 0.066  44.4
321.8  243.3  64.0   0.5 0.063  44.7
298.0  147.6 188.8   8.0 0.038  43.6
308.9  269.2 132.3  22.5 0.101  43.1
 11.5  195.6  26.1  10.8 0.288  39.7
  4.4  294.8  97.0   8.4 0.221  39.2
 87.2   65.7 173.2   1.2 0.014  43.4
347.8   58.4 205.6  24.8 0.311  49.2
  4.4   68.0 169.3  15.5 0.283  39.8
100.8   82.1  10.0  12.7 0.151  39.2
286.0  268.6 192.1   4.6 0.041  37.7
  6.1  324.6 128.0   3.0 0.249  39.1
245.7  265.9 350.2   1.5 0.040  43.4
 17.5   24.6 342.1   4.8 0.260  39.4
285.0  298.6  71.0  19.6 0.242  39.7
 48.0  130.2 183.2  13.5 0.371  47.4
 66.2  134.1  50.4   2.4 0.052  43.6
340.4   82.4 346.9  16.6 0.222  39.1
330.2   72.5  21.1  27.1 0.101  41.5
 56.1  308.8 343.1  12.4 0.400  47.6
 63.7  141.1 188.1  19.6 0.145  39.2
113.8  265.0  97.3  17.2 0.052  42.8
339.1   59.0  50.1  12.1 0.100  45.5
138.6  240.1 355.3  27.5 0.123  43.1
 10.4   29.9  16.0   4.7 0.254  39.3
261.3  121.5  72.4   1.5 0.036  42.6
331.5  246.8  25.6   3.7 0.056  44.4
 69.6  301.6 127.2  19.2 0.210  47.1
 26.5   75.0 316.7   5.7 0.327  39.1
 57.5  337.4 127.5   6.6 0.074  36.5
358.8   99.0 317.4  12.1 0.313  39.2
 31.3  102.9 144.7   3.8 0.123  39.6
353.6  236.8  56.2  14.0 0.222  42.5
 70.3  311.1 176.6   0.6 0.061  44.0
 69.7  315.7 354.7   5.2 0.186  39.3
353.0   79.4 354.8   1.9 0.316  39.1
 32.0    0.2 359.4   2.2 0.066  43.7
