  M    Peri. Node   Incl.  e      a 
273.7  289.9 181.9  14.9 0.061  40.7
 21.0  236.4 117.5   2.6 0.081  43.7
214.0  153.2  17.6  24.2 0.182  45.4
 55.2  276.3  19.9  13.0 0.254  47.7
 66.1  279.4  18.8   8.4 0.139  43.6
 92.2  248.3  21.5   2.5 0.147  45.6
202.0  355.1 182.5   6.2 0.028  43.4
354.7  284.5 102.4   1.5 0.122  45.1
349.8  261.5 128.8   3.4 0.056  43.6
209.5   60.3 110.1   2.9 0.046  43.4
141.6   52.6 183.1  19.9 0.021  38.1
312.9  177.6 216.2  13.3 0.132  42.9
129.6  104.4 144.9  19.5 0.236  39.3
289.4  351.3 147.0  21.9 0.258  42.0
318.0   19.7  71.3  25.5 0.166  40.4
249.5  206.3 309.5   2.6 0.142  43.3
175.4  127.6  43.0   7.8 0.154  39.5
 51.9  290.6 353.5  25.8 0.121  38.0
284.2   84.2 335.2  30.8 0.161  45.0
 17.3  289.8   2.0   4.7 0.381  39.7
 14.8  329.6 320.1  26.8 0.147  41.7
250.4  317.3 115.0  23.4 0.063  41.5
309.8   11.7 294.7   8.7 0.059  42.9
 22.9  272.9 293.0   5.7 0.330  48.2
325.5  273.8 358.3   3.2 0.042  43.0
 56.2    0.6 170.2   8.6 0.201  47.0
  9.0   38.2 201.5  13.7 0.029  40.8
336.6  182.9  98.3  11.7 0.195  46.6
 46.9   55.4 131.5   8.4 0.127  44.6
206.1  307.3  92.2  11.2 0.117  47.0
346.4  117.0 160.6   7.6 0.293  39.6
354.2  174.2  85.3  15.9 0.256  39.7
 11.3  119.6 112.7   8.3 0.183  39.7
 40.0   67.3 113.9   8.0 0.283  39.7
  0.4   48.3 197.9  13.0 0.101  39.6
 17.8  127.9  87.2  16.4 0.301  39.7
  5.4  166.5  72.5  24.8 0.196  39.7
 16.6   46.7 177.0  10.2 0.156  39.8
359.9  130.3 117.2  10.1 0.240  39.8
  0.0  157.3 168.2   7.8 0.057  43.1
  0.7  168.0  74.8  26.5 0.077  40.4
320.3  179.5 114.3   9.5 0.186  42.4
346.4   67.6 192.0   9.6 0.055  42.8
306.3   17.9 309.3   7.7 0.253  48.4
 67.4  161.0 350.5   8.2 0.225  47.0
349.1  336.2 278.3   4.3 0.266  49.0
 35.0   28.5 159.1  20.3 0.115  41.2
348.5  154.8  86.3  21.4 0.070  41.1
 42.6   36.6 126.0   9.9 0.247  39.9
279.3  181.7 168.6  18.1 0.175  47.7
 64.1  344.5 185.2  20.8 0.124  39.8
343.4  208.6  41.5   8.2 0.184  46.1
 26.6  332.0 214.1  20.4 0.194  46.1
242.9  128.0 215.2  24.5 0.024  47.7
 77.9  329.1 175.5   0.5 0.018  44.3
126.5   62.0  31.5   3.1 0.047  44.4
 15.6  148.0  57.0   5.4 0.120  44.3
258.8  246.5  83.4   3.0 0.049  43.2
220.9  183.0 182.4   2.8 0.044  43.2
 70.2  296.2 212.1  21.1 0.049  41.7
334.5  211.8  39.9   5.3 0.108  45.2
300.5  234.8  51.1   4.1 0.062  43.6
340.5  210.7  35.7   5.0 0.082  45.2
